top - 10:59:01 up 12:44,  1 user,  load average: 0.74, 0.54, 0.33
Tasks: 356 total,   1 running, 338 sleeping,  17 stopped,   0 zombie
%Cpu(s):  8.8 us,  4.4 sy,  0.0 ni, 80.9 id,  2.9 wa,  0.0 hi,  2.9 si,  0.0 st
MiB Mem :   7879.2 total,    229.3 free,   5648.0 used,   2001.9 buff/cache
MiB Swap:   2048.0 total,   1940.1 free,    107.9 used.   1675.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    365 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop0
    366 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop1
    367 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop2
    371 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop3
    376 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop4
    380 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop5
    382 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop7
    383 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop8
    384 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop9
    385 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop10
    389 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop11
    394 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop12
    395 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop13
    399 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop14
    400 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop15
    406 root      20   0   24928   8048   3656 S   0.0   0.1   0:05.05 systemd+
    407 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop16
    408 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop17
    409 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop18
    410 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop19
    411 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop20
    412 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop21
    413 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop22
    414 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop23
    415 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop24
    416 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop25
    417 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop26
    418 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop27
    419 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop28
    420 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop29
    562 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    635 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia-+
    641 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
    780 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM glo+
    781 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM Too+
    852 systemd+  20   0   24308  12872   9328 S   0.0   0.2   0:02.23 systemd+
    853 systemd+  20   0   90412   6164   5292 S   0.0   0.1   0:00.30 systemd+
    866 root      20   0  238504   7784   6668 S   0.0   0.1   0:00.35 account+
    868 root      20   0    2540    764    696 S   0.0   0.0   0:02.02 acpid
    871 avahi     20   0    8504   3204   2876 S   0.0   0.0   0:00.49 avahi-d+
    873 root      20   0    9412   3072   2808 S   0.0   0.0   0:00.02 cron
    875 message+  20   0   10124   6708   3840 S   0.0   0.1   0:03.02 dbus-da+
    876 root      20   0  335920  18708  15848 S   0.0   0.2   0:01.68 Network+
    882 root      20   0   81876   3596   3268 S   0.0   0.0   0:00.96 irqbala+
    883 root      20   0   39268  18124  11316 S   0.0   0.2   0:00.09 network+
    896 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    897 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    898 root      20   0       0      0      0 S   0.0   0.0   0:02.49 usb-sto+
    904 root      20   0  241052  10864   7064 S   0.0   0.1   0:01.75 polkitd
